id,address,proj
8101.007706,"33-20 72ND ST, QUEENS NY",jh
8101.007802,"33-20 73RD ST, QUEENS NY",jh
8101.007895,"33-20 74TH ST, QUEENS NY",jh
8101.007959,"33-20 75TH ST, QUEENS NY",jh
8101.008051,"33-20 76TH ST, QUEENS NY",jh
8101.008361,"33-20 83RD ST, QUEENS NY",jh
8101.00853,"33-20 85TH ST, QUEENS NY",jh
8101.008594,"33-20 86TH ST, QUEENS NY",jh
8101.008659,"33-20 87TH ST, QUEENS NY",jh
8101.008769,"33-20 88TH ST, QUEENS NY",jh
8101.009002,"33-20 90TH ST, QUEENS NY",jh
8101.007315,"33-21 69TH ST, QUEENS NY",jh
8101.0076,"33-21 70TH ST, QUEENS NY",jh
8101.007663,"33-21 71ST ST, QUEENS NY",jh
8101.007756,"33-21 72ND ST, QUEENS NY",jh
8101.007858,"33-21 73RD ST, QUEENS NY",jh
8101.00793,"33-21 74TH ST, QUEENS NY",jh
8101.008004,"33-21 75TH ST, QUEENS NY",jh
8101.008335,"33-21 82ND ST, QUEENS NY",jh
8101.008398,"33-21 83RD ST, QUEENS NY",jh
8101.008563,"33-21 85TH ST, QUEENS NY",jh
8101.008617,"33-21 86TH ST, QUEENS NY",jh
8101.008701,"33-21 87TH ST, QUEENS NY",jh
8101.008834,"33-21 88TH ST, QUEENS NY",jh
8101.008945,"33-21 89TH ST, QUEENS NY",jh
8101.007282,"33-22 69TH ST, QUEENS NY",jh
8101.00729,"33-22 70TH ST, QUEENS NY",jh
8101.007622,"33-22 71ST ST, QUEENS NY",jh
8101.007707,"33-22 72ND ST, QUEENS NY",jh
8101.007803,"33-22 73RD ST, QUEENS NY",jh
8101.007896,"33-22 74TH ST, QUEENS NY",jh
8101.00796,"33-22 75TH ST, QUEENS NY",jh
8101.008052,"33-22 76TH ST, QUEENS NY",jh
8101.008362,"33-22 83RD ST, QUEENS NY",jh
8101.00866,"33-22 87TH ST, QUEENS NY",jh
8101.00877,"33-22 88TH ST, QUEENS NY",jh
8101.008883,"33-22 89TH ST, QUEENS NY",jh
8101.009003,"33-22 90TH ST, QUEENS NY",jh
8101.008438,"33-22-24 84TH ST, QUEENS NY",jh
8101.007248,"33-23 69TH ST, QUEENS NY",jh
8101.007601,"33-23 70TH ST, QUEENS NY",jh
8101.007664,"33-23 71ST ST, QUEENS NY",jh
8101.007757,"33-23 72ND ST, QUEENS NY",jh
8101.007859,"33-23 73RD ST, QUEENS NY",jh
8101.007931,"33-23 74TH ST, QUEENS NY",jh
8101.008005,"33-23 75TH ST, QUEENS NY",jh
8101.008477,"33-23 84TH ST, QUEENS NY",jh
8101.008564,"33-23 85TH ST, QUEENS NY",jh
8101.008946,"33-23 89TH ST, QUEENS NY",jh
8101.007283,"33-24 69TH ST, QUEENS NY",jh
8101.007291,"33-24 70TH ST, QUEENS NY",jh
8101.007708,"33-24 72ND ST, QUEENS NY",jh
8101.007804,"33-24 73RD ST, QUEENS NY",jh
8101.007897,"33-24 74TH ST, QUEENS NY",jh
8101.007961,"33-24 75TH ST, QUEENS NY",jh
8101.008053,"33-24 76TH ST, QUEENS NY",jh
8101.008113,"33-24 77TH ST, QUEENS NY",jh
8101.008363,"33-24 83RD ST, QUEENS NY",jh
8101.008531,"33-24 85TH ST, QUEENS NY",jh
8101.008595,"33-24 86TH ST, QUEENS NY",jh
8101.008661,"33-24 87TH ST, QUEENS NY",jh
8101.008884,"33-24 89TH ST, QUEENS NY",jh
8101.009004,"33-24 90TH ST, QUEENS NY",jh
8101.007314,"33-25 69TH ST, QUEENS NY",jh
8101.007602,"33-25 70TH ST, QUEENS NY",jh
8101.007665,"33-25 71ST ST, QUEENS NY",jh
8101.007758,"33-25 72ND ST, QUEENS NY",jh
8101.00786,"33-25 73RD ST, QUEENS NY",jh
8101.007932,"33-25 74TH ST, QUEENS NY",jh
8101.008006,"33-25 75TH ST, QUEENS NY",jh
8101.008095,"33-25 76TH ST, QUEENS NY",jh
8101.008298,"33-25 81ST ST, QUEENS NY",jh
8101.008399,"33-25 83RD ST, QUEENS NY",jh
8101.008478,"33-25 84TH ST, QUEENS NY",jh
8101.008618,"33-25 86TH ST, QUEENS NY",jh
8101.008702,"33-25 87TH ST, QUEENS NY",jh
8101.008835,"33-25 88TH ST, QUEENS NY",jh
8101.007284,"33-26 69TH ST, QUEENS NY",jh
8101.007292,"33-26 70TH ST, QUEENS NY",jh
8101.007623,"33-26 71ST ST, QUEENS NY",jh
8101.007709,"33-26 72ND ST, QUEENS NY",jh
8101.007805,"33-26 73RD ST, QUEENS NY",jh
8101.007898,"33-26 74TH ST, QUEENS NY",jh
8101.007962,"33-26 75TH ST, QUEENS NY",jh
8101.008054,"33-26 76TH ST, QUEENS NY",jh
8101.008315,"33-26 82ND ST, QUEENS NY",jh
8101.008364,"33-26 83RD ST, QUEENS NY",jh
8101.008532,"33-26 85TH ST, QUEENS NY",jh
8101.008771,"33-26 88TH ST, QUEENS NY",jh
8101.008885,"33-26 89TH ST, QUEENS NY",jh
8101.009005,"33-26 90TH ST, QUEENS NY",jh
8101.008439,"33-26-28 84TH ST, QUEENS NY",jh
8101.007313,"33-27 69TH ST, QUEENS NY",jh
8101.007603,"33-27 70TH ST, QUEENS NY",jh
8101.007759,"33-27 72ND ST, QUEENS NY",jh
8101.007933,"33-27 74TH ST, QUEENS NY",jh
8101.008007,"33-27 75TH ST, QUEENS NY",jh
8101.008254,"33-27 80TH ST, QUEENS NY",jh
8101.0084,"33-27 83RD ST, QUEENS NY",jh
8101.008565,"33-27 85TH ST, QUEENS NY",jh
8101.008619,"33-27 86TH ST, QUEENS NY",jh
8101.008703,"33-27 87TH ST, QUEENS NY",jh
8101.008836,"33-27 88TH ST, QUEENS NY",jh
8101.008947,"33-27 89TH ST, QUEENS NY",jh
8101.007293,"33-28 70TH ST, QUEENS NY",jh
8101.007624,"33-28 71ST ST, QUEENS NY",jh
8101.00771,"33-28 72ND ST, QUEENS NY",jh
8101.007806,"33-28 73RD ST, QUEENS NY",jh
8101.007899,"33-28 74TH ST, QUEENS NY",jh
8101.007963,"33-28 75TH ST, QUEENS NY",jh
8101.008055,"33-28 76TH ST, QUEENS NY",jh
8101.008258,"33-28 81ST ST, QUEENS NY",jh
8101.008365,"33-28 83RD ST, QUEENS NY",jh
8101.008533,"33-28 85TH ST, QUEENS NY",jh
8101.008596,"33-28 86TH ST, QUEENS NY",jh
8101.008662,"33-28 87TH ST, QUEENS NY",jh
8101.008772,"33-28 88TH ST, QUEENS NY",jh
8101.009006,"33-28 90TH ST, QUEENS NY",jh
